Longitude,Latitude,Depth(km),Magnitude,DateTime
-17.8979,28.5803,11,1.5,2022-08-18T01:36:11Z
-17.9069,28.5673,10,1.4,2022-08-18T01:36:54Z
-17.9001,28.5768,11,1.1,2022-08-18T01:43:59Z
-17.8898,28.5725,11,1.5,2022-08-18T01:52:16Z
-17.894,28.5744,11,1.1,2022-08-18T02:08:35Z
-17.8939,28.5892,7,0.9,2022-08-18T03:41:56Z
-17.8753,28.6144,9,1.2,2022-08-18T04:10:13Z
-17.8192,28.6166,10,1.2,2022-08-18T06:09:18Z
-17.8586,28.5948,12,1.4,2022-08-18T16:22:08Z
-17.8339,28.5627,12,1.8,2022-08-18T18:27:44Z
-17.8374,28.5579,12,1.4,2022-08-18T21:19:23Z
-17.9012,28.5896,10,1.6,2022-08-18T23:09:28Z
-17.8638,28.5307,13,1.3,2022-08-18T23:36:06Z
-17.8747,28.5819,12,1,2022-08-18T23:36:20Z
-17.8578,28.5594,11,0.7,2022-08-17T00:29:36Z
-17.8805,28.6048,11,1,2022-08-17T01:21:36Z
-17.8466,28.5612,14,1.2,2022-08-16T02:11:46Z
-17.8793,28.5442,11,1.5,2022-08-16T03:05:28Z
-17.8399,28.5993,11,1.6,2022-08-16T10:35:59Z
-17.8747,28.5827,11,0.9,2022-08-16T19:46:34Z
-17.8683,28.5781,12,0.8,2022-08-15T00:34:23Z
-17.9189,28.544,12,1.1,2022-08-15T00:55:06Z
-17.8606,28.5554,12,0.8,2022-08-15T03:57:59Z
-17.8499,28.5587,12,1,2022-08-15T04:13:13Z
-17.8602,28.5494,13,0.6,2022-08-15T04:13:40Z
-17.866,28.6019,11,1,2022-08-15T21:02:13Z
-17.8681,28.5554,12,1.2,2022-08-15T21:03:34Z
-17.8571,28.5573,12,1.1,2022-08-15T21:04:38Z
-17.8544,28.5547,12,0.9,2022-08-15T22:50:36Z
-17.8769,28.547,11,1,2022-08-15T22:51:27Z
-17.8739,28.5547,10,1.1,2022-08-15T22:51:43Z
-17.8506,28.563,12,0.9,2022-08-14T00:11:56Z
-17.809,28.5465,10,0.9,2022-08-14T00:12:26Z
-17.8639,28.5459,13,1,2022-08-14T00:13:11Z
-17.809,28.5671,8,0.8,2022-08-14T00:13:45Z
-17.8725,28.5374,12,1.2,2022-08-14T00:14:18Z
-17.8627,28.5531,13,0.9,2022-08-14T00:37:27Z
-17.8333,28.5693,13,1.6,2022-08-14T00:40:34Z
-17.8755,28.6149,3,1,2022-08-14T02:47:19Z
-17.8513,28.5536,13,1.2,2022-08-14T18:31:11Z
-17.8633,28.5547,14,1.6,2022-08-14T18:34:46Z
-17.8698,28.5523,12,0.7,2022-08-13T03:08:00Z
-17.8595,28.5592,11,0.8,2022-08-13T03:08:11Z
-17.8534,28.5579,11,1.1,2022-08-13T03:08:20Z
-17.8724,28.5538,13,0.8,2022-08-13T03:25:23Z
-17.852,28.5618,13,1.2,2022-08-13T03:27:25Z
-17.829,28.5767,16,1.5,2022-08-13T06:39:28Z
-17.8548,28.556,12,1.1,2022-08-13T10:46:28Z
-17.871,28.5485,11,1.2,2022-08-13T10:46:54Z
-17.8537,28.5595,12,1.5,2022-08-13T14:59:07Z
-17.8144,28.5612,11,1,2022-08-13T23:46:48Z
-17.8484,28.5454,14,1,2022-08-13T23:48:18Z
-17.8322,28.5566,13,1.3,2022-08-13T23:51:23Z
-17.8496,28.562,10,1,2022-08-13T23:54:33Z
-17.818,28.6228,25,1.8,2022-08-13T23:54:47Z
-17.8442,28.5698,11,1,2022-08-13T23:56:22Z
-17.8484,28.5626,11,1,2022-08-13T23:57:19Z
-17.8776,28.5908,8,0.5,2022-08-12T00:27:28Z
-17.8405,28.5443,14,1.5,2022-08-12T06:03:48Z
-17.8639,28.6195,3,1.1,2022-08-12T11:13:07Z
-17.8505,28.5952,11,1.8,2022-08-12T21:11:01Z
-17.8655,28.5472,11,1,2022-08-11T02:16:45Z
-17.8797,28.5426,11,1,2022-08-11T02:25:36Z
-17.8609,28.5517,13,0.4,2022-08-11T02:27:08Z
-17.8764,28.5445,11,0.7,2022-08-11T02:27:40Z
-17.8737,28.5504,11,0.7,2022-08-11T02:28:18Z
-17.8951,28.5654,10,0.5,2022-08-11T02:38:03Z
-17.8786,28.5443,12,0.8,2022-08-11T02:40:51Z
-17.8455,28.55,12,0.9,2022-08-11T02:41:01Z
-17.866,28.5555,12,1.4,2022-08-11T02:41:07Z
-17.8708,28.5578,12,1.7,2022-08-11T02:48:53Z
-17.8392,28.5695,16,0.9,2022-08-11T03:07:52Z
-17.8633,28.5392,16,1.2,2022-08-11T03:09:08Z
-17.8675,28.5636,11,0.7,2022-08-11T03:10:01Z
-17.8305,28.5667,13,1.2,2022-08-11T05:16:09Z
-17.8438,28.6268,4,1.4,2022-08-10T02:30:44Z
-17.8075,28.5612,14,1.2,2022-08-10T05:38:26Z
-17.9114,28.5774,9,1.6,2022-08-10T08:52:19Z
-17.8883,28.5936,7,1.7,2022-08-10T09:03:40Z
-17.956,28.6012,10,1.6,2022-08-10T16:31:18Z
-17.8445,28.5955,6,1.5,2022-08-10T18:51:41Z
-17.8743,28.5506,11,1,2022-08-10T23:33:41Z
-17.8743,28.5506,11,1,2022-08-10T23:33:41Z
-17.8486,28.5596,12,1,2022-08-09T02:42:09Z
-17.8828,28.5443,11,1.3,2022-08-09T03:30:25Z
-17.8892,28.5836,9,1.7,2022-08-09T04:52:32Z
-17.9174,28.5673,10,1.2,2022-08-09T17:20:33Z
-17.8754,28.6548,3,0.5,2022-08-08T03:10:49Z
-17.8123,28.5843,11,1.2,2022-08-08T21:40:02Z
-17.8657,28.5454,11,0.8,2022-08-07T00:30:42Z
-17.8332,28.5675,11,1.3,2022-08-07T01:38:26Z
-17.8268,28.6008,14,1.2,2022-08-07T05:30:56Z
-17.8693,28.5523,12,1.4,2022-08-07T06:09:16Z
-17.8761,28.5455,12,1.7,2022-08-07T06:09:38Z
-17.8871,28.5274,12,1.4,2022-08-07T06:14:39Z
-17.8772,28.5781,12,1.1,2022-08-07T09:29:34Z
-17.8291,28.5544,13,1.3,2022-08-07T11:30:45Z
-17.8548,28.5386,13,1.3,2022-08-07T11:42:15Z
-17.8648,28.5759,9,1,2022-08-07T17:00:12Z
-17.8685,28.5605,12,1.3,2022-08-07T19:10:17Z
-17.8737,28.5946,9,1.1,2022-08-07T22:54:57Z
-17.847,28.5604,11,1,2022-08-06T02:50:44Z
-17.8196,28.5604,14,0.6,2022-08-06T03:14:46Z
-17.8716,28.5475,12,1,2022-08-06T03:17:29Z
-17.831,28.5587,10,1.7,2022-08-06T03:21:34Z
-17.8355,28.551,14,1.1,2022-08-06T03:23:25Z
-17.796,28.5864,14,1.1,2022-08-06T22:32:11Z
-17.8313,28.5543,14,1,2022-08-05T01:05:32Z
-17.8168,28.5634,13,0.9,2022-08-05T01:06:09Z
-17.8484,28.5574,10,1.2,2022-08-05T01:06:49Z
-17.8355,28.5522,12,1.4,2022-08-05T01:07:25Z
-17.8308,28.5628,15,1.4,2022-08-05T01:08:03Z
-17.9132,28.614,15,1.3,2022-08-05T15:26:14Z
-17.8389,28.5575,11,1.4,2022-08-05T19:06:47Z
-17.937,28.599,8,1.1,2022-08-05T23:47:17Z
-17.9351,28.6374,13,1.6,2022-08-04T03:08:39Z
-17.8887,28.6173,10,1.6,2022-08-04T08:11:07Z
-17.8086,28.5918,16,1.1,2022-08-04T18:54:16Z
-17.8627,28.5843,19,1.2,2022-08-04T23:11:01Z
-17.8733,28.5433,12,0.9,2022-08-04T23:12:49Z
-17.8762,28.5393,13,1.1,2022-08-04T23:28:03Z
-17.8789,28.5391,12,1.6,2022-08-04T23:29:36Z
-17.8076,28.5796,11,1.1,2022-08-03T23:42:07Z
-17.8882,28.6174,3,1.1,2022-08-01T18:16:02Z
-17.8742,28.6217,1,1.8,2022-07-31T05:39:24Z
-17.8847,28.6191,1,1.6,2022-07-31T12:01:27Z
-17.8854,28.6499,4,1.2,2022-07-31T15:19:22Z
-17.8548,28.6037,5,0.8,2022-07-31T22:57:07Z
-17.8868,28.5425,11,1.4,2022-07-30T14:37:44Z
-17.8613,28.5521,11,1.1,2022-07-30T14:39:16Z
-17.878,28.5386,13,1.4,2022-07-30T14:52:43Z
-17.8424,28.6389,1,0.8,2022-07-30T22:42:07Z
-17.8759,28.6122,7,1.4,2022-07-30T22:57:18Z
-17.8619,28.5993,8,2.2,2022-07-29T17:15:00Z
-17.8651,28.6133,6,1.6,2022-07-29T21:21:16Z
-17.868,28.608,5,1.6,2022-07-28T10:58:05Z
-17.831,28.6465,11,1.8,2022-07-28T16:53:15Z
-17.8922,28.6235,2,2.2,2022-07-27T08:04:24Z
-17.8618,28.6037,7,1.3,2022-07-27T17:14:42Z
-17.9028,28.6039,10,1.6,2022-07-27T17:17:01Z
-17.9014,28.608,13,1.1,2022-07-27T20:29:52Z
-17.8926,28.6314,1,1,2022-07-24T00:26:55Z
-17.879,28.623,3,1,2022-07-24T22:31:39Z
-17.8567,28.6363,12,1.1,2022-07-21T02:30:45Z
-17.868,28.6351,11,1.2,2022-07-21T04:09:07Z
-17.8542,28.6168,8,1.8,2022-07-21T12:50:27Z
-17.8358,28.6216,6,1.5,2022-07-21T15:34:57Z
-17.8752,28.6216,10,0.7,2022-07-20T00:21:12Z
-17.9662,28.6004,33,1.5,2022-07-20T02:17:59Z
-17.8994,28.6294,13,1.1,2022-07-20T02:58:03Z
-17.9265,28.6308,13,1.5,2022-07-20T18:54:37Z
-17.9117,28.6123,7,2,2022-07-19T08:14:27Z
-17.9083,28.6122,7,1.2,2022-07-18T01:57:39Z
-17.9522,28.5786,6,1.4,2022-07-18T02:28:45Z
-17.8701,28.5559,0,1.1,2022-07-18T05:32:26Z
-17.891,28.6423,9,1.3,2022-07-17T05:08:01Z
-17.8644,28.5964,0,0.3,2022-07-17T05:58:11Z
-17.8466,28.6039,8,1.1,2022-07-17T08:49:18Z
-17.8692,28.6136,3,1.5,2022-07-17T11:54:36Z
-17.8712,28.6219,3,0.9,2022-07-17T16:39:09Z
-17.8612,28.5963,12,1.6,2022-07-17T18:53:00Z
-17.914,28.6232,10,1.1,2022-07-16T03:56:32Z
-17.8777,28.6237,2,1.6,2022-07-16T04:59:44Z
-17.901,28.578,7,1.1,2022-07-15T02:34:59Z
-17.8488,28.6384,4,1.1,2022-07-14T05:59:42Z
-17.9248,28.6332,2,1.1,2022-07-14T23:04:16Z
-17.9083,28.6169,7,1.4,2022-07-13T03:38:44Z
-17.9449,28.6156,8,1.4,2022-07-13T12:52:14Z
-17.8926,28.618,5,1.2,2022-07-13T16:04:30Z
-17.8426,28.574,9,1.1,2022-07-12T18:45:13Z
-17.8708,28.5487,12,1.1,2022-07-11T01:54:07Z
-17.872,28.5434,13,1.1,2022-07-11T02:14:16Z
-17.8463,28.5525,13,1.2,2022-07-11T02:59:14Z
-17.8418,28.6222,7,0.8,2022-07-10T00:08:17Z
-17.8781,28.6057,5,1.1,2022-07-10T01:03:06Z
-17.8816,28.6199,1,1.5,2022-07-09T00:06:11Z
-17.8815,28.6424,0,1.5,2022-07-09T01:44:10Z
-17.8493,28.6544,7,1.3,2022-07-09T14:02:55Z
-17.8686,28.6199,2,1.2,2022-07-08T00:43:00Z
-17.8692,28.6252,2,0.2,2022-07-08T00:48:55Z
-17.8703,28.6176,2,1.6,2022-07-08T03:25:45Z
-17.8772,28.6105,5,1.1,2022-07-08T17:09:48Z
-17.871,28.6295,0,0.4,2022-07-08T21:10:39Z
-17.8808,28.5285,13,1.6,2022-07-07T20:02:58Z
-17.8958,28.5972,10,1.1,2022-07-04T05:26:28Z
-17.8553,28.6243,8,1.6,2022-07-04T13:24:04Z
-17.8514,28.6088,7,1.1,2022-07-04T18:14:51Z
-17.8449,28.6146,4,1.4,2022-07-04T19:33:26Z
-17.8734,28.5955,8,1.1,2022-07-03T03:12:40Z
-17.9356,28.5981,13,1.6,2022-07-03T17:26:00Z
-17.9461,28.6105,12,1.1,2022-07-02T01:06:31Z
-17.984,28.6018,6,0.9,2022-07-02T02:00:09Z
-17.8615,28.558,10,1.1,2022-07-02T03:17:00Z
-17.9332,28.577,9,1.6,2022-07-02T03:58:40Z
-17.852,28.5654,11,1.1,2022-07-02T04:36:56Z
-17.8672,28.5426,13,1.4,2022-07-02T04:46:43Z
-17.9102,28.5844,11,0.9,2022-07-02T20:05:40Z
-17.8582,28.6151,3,1.4,2022-07-01T12:24:13Z
-17.8719,28.623,5,1.5,2022-07-01T22:19:55Z
-17.855,28.6314,12,1.4,2022-06-27T02:43:42Z
-17.8709,28.5966,10,1.4,2022-06-26T02:33:12Z
-17.9284,28.5726,10,1.2,2022-06-26T15:53:17Z
-17.8983,28.6037,13,1.7,2022-06-25T00:55:23Z
-17.9009,28.5976,10,1.7,2022-06-25T01:25:58Z
-17.9006,28.6073,4,1.1,2022-06-25T05:19:15Z
-17.8873,28.5997,6,1.7,2022-06-25T10:58:33Z
-17.8762,28.6157,0,1.5,2022-06-25T20:26:06Z
-17.9594,28.6267,13,1.2,2022-06-24T00:14:48Z
-17.8779,28.5605,8,0.8,2022-06-24T01:15:23Z
-17.8546,28.5573,12,0.5,2022-06-23T01:19:13Z
-17.872,28.542,13,0.7,2022-06-23T01:20:22Z
-17.8571,28.5541,13,0.8,2022-06-23T01:22:48Z
-17.8617,28.5564,12,0.6,2022-06-23T01:25:46Z
-17.8732,28.5482,12,0.6,2022-06-23T01:25:56Z
-17.8696,28.5471,12,0.6,2022-06-23T01:28:01Z
-17.8493,28.56,12,0.5,2022-06-23T01:30:09Z
-17.9002,28.6356,2,0.6,2022-06-23T02:40:33Z
-17.8686,28.583,12,0.9,2022-06-23T04:19:46Z
-17.8888,28.6033,9,0.7,2022-06-23T05:06:46Z
-17.8715,28.5458,14,1.3,2022-06-23T21:19:53Z
-17.9182,28.5393,13,1,2022-06-23T22:04:41Z
-17.8758,28.6178,4,0.5,2022-06-22T01:30:31Z
-17.8798,28.5751,8,1.5,2022-06-21T00:41:08Z
-17.8654,28.6123,4,1.3,2022-06-21T01:23:24Z
-17.8373,28.6248,18,1.8,2022-06-21T05:16:56Z
-17.8061,28.6388,8,1.2,2022-06-21T05:17:40Z
-17.8905,28.5876,6,1.8,2022-06-21T09:04:41Z
-17.8738,28.6044,9,1.4,2022-06-21T13:41:42Z
-17.9111,28.6076,3,1.6,2022-06-21T23:31:10Z
-17.9054,28.5809,10,1.6,2022-06-20T20:55:08Z
-17.9133,28.6467,11,1.3,2022-06-20T23:07:06Z
-17.8787,28.628,2,0.7,2022-06-18T01:26:58Z
-17.9213,28.5721,10,1.2,2022-06-17T03:59:16Z
-17.8647,28.6202,2,1.4,2022-06-16T02:03:50Z
-17.8429,28.4603,22,2,2022-06-16T18:53:07Z
-17.879,28.6115,5,0.9,2022-06-16T23:04:00Z
-17.9148,28.6337,15,1,2022-06-15T00:57:23Z
-17.8789,28.6362,4,0.6,2022-06-15T01:12:04Z
-17.872,28.5649,9,0.8,2022-06-15T01:14:02Z
-17.8681,28.6215,3,0.7,2022-06-15T03:13:48Z
-17.8951,28.6315,5,0.9,2022-06-14T01:38:39Z
-17.8643,28.6064,7,0.9,2022-06-14T03:16:04Z
-17.8549,28.616,9,1,2022-06-14T04:24:30Z
-17.8989,28.6379,5,0.8,2022-06-13T00:05:44Z
-17.8693,28.6282,12,0.8,2022-06-13T01:01:39Z
-17.8668,28.6033,8,0.8,2022-06-13T01:34:10Z
-17.8675,28.6191,1,1.1,2022-06-13T01:36:45Z
-17.8915,28.6062,3,1.9,2022-06-13T02:22:01Z
-17.8724,28.6217,3,1.4,2022-06-13T02:52:54Z
-17.8998,28.5732,11,1.2,2022-06-13T05:07:52Z
-17.8394,28.6364,5,0.8,2022-06-13T06:02:14Z
-17.8657,28.6216,1,1.7,2022-06-13T18:33:35Z
-17.8719,28.6231,1,1.9,2022-06-12T03:15:37Z
